track,speed_setting,method,mean_pos_err,median_pos_err,std_pos_err,max_pos_err,rmse_pos_err,mean_yaw_err_deg,median_yaw_err_deg,std_yaw_err_deg,max_yaw_err_deg,rmse_yaw_err_deg
map2,6.0,amcl,0.1749,0.1632,0.0996,0.5418,0.2013,1.6912,0.7768,2.1397,13.3253,2.7274
map2,6.0,conv,0.2282,0.2233,0.1029,0.7626,0.2503,4.8844,3.9475,3.9233,21.7709,6.2644
map2,6.0,odom,0.2128,0.2105,0.1007,0.6172,0.2354,4.7108,3.6435,4.0417,32.6555,6.2064
map2,7.0,amcl,0.2049,0.1853,0.1281,0.7385,0.2417,1.9907,1.0122,2.35,14.6177,3.0798
map2,7.0,conv,0.2443,0.2402,0.109,0.6825,0.2675,5.8382,4.8994,4.6303,26.6194,7.4508
map2,7.0,odom,0.2364,0.2324,0.1139,0.8636,0.2624,6.8404,5.3488,6.0195,50.9399,9.1109
map2,8.0,amcl,0.2063,0.1763,0.1534,1.2468,0.2571,2.2879,1.0874,2.7103,20.0277,3.5468
map2,8.0,conv,0.2529,0.2336,0.1204,1.0157,0.28,6.0738,4.5989,6.116,93.9148,8.6175
map2,8.0,odom,,,,,,,,,,
map2_slamversion,5.0,amcl,0.1765,0.1564,0.1117,0.731,0.2089,2.3975,1.3769,2.8103,21.3134,3.694
map2_slamversion,5.0,conv,,,,,,,,,,
map2_slamversion,5.0,odom,0.2127,0.1705,0.225,2.3934,0.3096,2.9281,2.0767,3.5047,48.5949,4.5664
map2_slamversion,5.0,slam,,,,,,,,,,
map2_slamversion,6.0,amcl,0.1852,0.1524,0.1359,0.8812,0.2298,2.7347,1.516,3.2922,22.6154,4.2798
map2_slamversion,6.0,conv,,,,,,,,,,
map2_slamversion,6.0,odom,0.2007,0.1858,0.1112,1.1987,0.2295,3.722,2.7462,3.6445,48.8026,5.2087
map2_slamversion,6.0,slam,,,,,,,,,,
map2_slamversion,7.0,amcl,0.2167,0.1803,0.1585,1.0881,0.2685,3.2848,1.7983,4.0694,27.2265,5.2296
map2_slamversion,7.0,conv,,,,,,,,,,
map2_slamversion,7.0,odom,0.2758,0.212,0.3115,2.6077,0.416,4.775,3.4729,4.5387,37.7152,6.5872
map2_slamversion,7.0,slam,,,,,,,,,,
map2_slamversion,8.0,amcl,,,,,,,,,,
map2_slamversion,8.0,conv,,,,,,,,,,
