Method,Mean Position Error (m),Median Position Error (m),Max Position Error (m),Min Position Error (m),Std Dev Position Error (m),Mean Yaw Error (degrees),Median Yaw Error (degrees),Max Yaw Error (degrees),Min Yaw Error (degrees),Std Dev Yaw Error (degrees)
amcl,0.29346940703779895,0.21302497673618712,2.549784286953376,0.00019910856548000834,0.2757642477666571,1.791611925047556,0.9536513229471876,164.00185087336166,1.8162946782945985e-05,2.3081448073425186
conv,0.2332209232081941,0.2144955234265556,2.290253929274044,0.0028136034100792375,0.1362692733268802,4.484317233696948,3.2913240269865662,148.97855164658705,0.0,4.331003591693072
odom,0.22205722982403645,0.1986067394189157,2.607733112640124,0.00045422295587605106,0.1693162233684237,4.373351430809083,3.024244218210659,172.75175516327232,0.0,5.015771811190201
slam,0.3968077421311982,0.3714234524633746,1.3530956365937488,0.0012788003242270554,0.23919523324124872,5.0690308000237225,3.325223382803242,158.15590445299296,0.000497969609835335,5.797178085052609
