Method,Mean Yaw Error (degrees),Median Yaw Error (degrees),Max Yaw Error (degrees),Min Yaw Error (degrees),Std Dev Yaw Error (degrees)
amcl,1.791611925047556,0.9536513229471876,164.00185087336166,1.8162946782945985e-05,2.3081448073425186
conv,4.484317233696948,3.2913240269865662,148.97855164658705,0.0,4.331003591693072
odom,4.373351430809083,3.024244218210659,172.75175516327232,0.0,5.015771811190201
slam,5.0690308000237225,3.325223382803242,158.15590445299296,0.000497969609835335,5.797178085052609
