Method,Mean Position Error (m),Median Position Error (m),Max Position Error (m),Min Position Error (m),Std Dev Position Error (m)
amcl,0.29346940703779895,0.21302497673618712,2.549784286953376,0.00019910856548000834,0.2757642477666571
conv,0.2332209232081941,0.2144955234265556,2.290253929274044,0.0028136034100792375,0.1362692733268802
odom,0.22205722982403645,0.1986067394189157,2.607733112640124,0.00045422295587605106,0.1693162233684237
slam,0.3968077421311982,0.3714234524633746,1.3530956365937488,0.0012788003242270554,0.23919523324124872
