Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",3.2848,1.7983,27.2265,0.0002,4.0693
odom,"[0.0, 1.0, 2.0, 3.0]",4.775,3.4729,37.7152,0.0002,4.5377
