Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",1.4476,0.7393,11.399,0.0,1.7637
conv,"[0.0, 1.0, 2.0, 3.0]",3.1723,2.4702,20.8409,0.0008,2.6717
odom,"[0.0, 1.0, 2.0, 3.0]",3.5993,2.6759,31.2952,0.0053,3.3456
