Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",2.2879,1.0874,20.0277,0.0001,2.7102
conv,"[0.0, 1.0, 2.0]",6.0738,4.5989,93.9148,0.0,6.1131
