Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",2.3283,1.7354,10.2731,0.0035,1.9306
conv,"[0.0, 1.0, 2.0, 3.0]",5.9645,4.2203,21.9161,0.0003,4.9989
odom,"[0.0, 1.0, 2.0, 3.0]",5.9297,4.6611,20.1034,0.062,4.9678
slam,"[0.0, 1.0, 2.0, 3.0]",6.5483,4.3577,37.9784,0.0072,6.3686
