Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",1.5321,0.8104,15.239,0.0002,1.9003
conv,"[0.0, 1.0]",5.88,5.0509,24.7334,0.0005,4.4312
odom,"[0.0, 1.0, 2.0]",8.0646,6.4676,61.195,0.0,7.4835
