Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",2.0148,1.462,9.5943,0.0018,1.7853
conv,"[0.0, 1.0, 2.0, 3.0]",4.6849,3.6525,17.7375,0.0115,3.73
odom,"[0.0, 1.0, 2.0, 3.0]",4.1818,2.9761,16.7137,0.004,3.7925
slam,"[0.0, 1.0, 2.0, 3.0]",5.2641,3.655,30.485,0.0106,4.9918
