Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",1.9256,0.9304,17.8761,0.0001,2.4449
conv,"[0.0, 1.0, 2.0, 3.0]",7.1226,5.9795,36.4256,0.0106,5.5526
odom,"[0.0, 1.0]",9.9456,7.6861,172.7518,0.0,12.7946
