Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",1.6912,0.7768,13.3253,0.0001,2.1397
conv,"[0.0, 1.0, 2.0, 3.0]",4.8844,3.9475,21.7709,0.0014,3.9225
odom,"[0.0, 1.0, 2.0, 3.0]",4.7108,3.6435,32.6555,0.007,4.0408
