Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",2.7772,2.1689,11.7544,0.0002,2.3077
conv,"[0.0, 1.0]",6.8485,2.1974,148.9786,0.0,16.91
odom,"[0.0, 1.0]",9.6884,3.7788,147.9066,0.0,22.658
slam,"[0.0, 1.0, 2.0, 3.0]",7.4451,4.5423,50.1923,0.0008,7.9781
