Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",2.7347,1.516,22.6154,0.0002,3.2922
odom,"[0.0, 1.0, 2.0, 3.0]",3.722,2.7462,48.8026,0.0001,3.6438
