Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",2.2269,1.6859,17.3072,0.0,2.0873
conv,"[0.0, 1.0, 2.0]",2.4405,1.9438,14.612,0.0038,2.1131
odom,"[0.0, 1.0, 2.0, 3.0]",2.4901,1.9059,20.8432,0.0031,2.3074
