Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",1.4699,0.7298,12.5169,0.0004,1.8695
conv,"[0.0, 1.0, 2.0, 3.0]",4.4544,3.6708,20.7919,0.0028,3.4515
odom,"[0.0, 1.0, 2.0, 3.0]",5.5363,4.5072,38.2285,0.008,4.4685
