Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",1.2636,0.6994,13.5419,0.0,1.7282
odom,"[0.0, 1.0]",8.3006,5.4525,166.7066,0.0,13.3243
