Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",2.1554,1.5254,19.4784,0.0001,2.1879
odom,"[0.0, 1.0, 2.0, 3.0]",3.5849,2.6913,26.2403,0.0027,3.2767
slam,"[0.0, 1.0]",3.9612,2.6657,158.1559,0.001,5.4144
