Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",2.5287,1.7489,20.8967,0.0003,2.6244
odom,"[0.0, 1.0, 2.0, 3.0]",4.4197,3.3403,42.8406,0.0051,4.197
