Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",1.9907,1.0122,14.6177,0.0001,2.3499
conv,"[0.0, 1.0, 2.0, 3.0]",5.8382,4.8994,26.6194,0.0015,4.6292
odom,"[0.0, 1.0, 2.0, 3.0]",6.8404,5.3488,50.9399,0.0034,6.018
