Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",2.0242,1.6005,8.1831,0.0003,1.6201
conv,"[0.0, 1.0, 2.0, 3.0]",3.0803,2.2071,14.1826,0.0155,2.6939
odom,"[0.0, 1.0, 2.0, 3.0]",3.2538,2.6184,14.3757,0.0048,2.5654
slam,"[0.0, 1.0, 2.0, 3.0]",3.7925,2.7573,20.0992,0.0005,3.4887
