Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",2.3975,1.3769,21.3134,0.0001,2.8102
odom,"[0.0, 1.0, 2.0, 3.0]",2.9281,2.0767,48.5949,0.0001,3.5041
