Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",1.4058,0.8141,18.3696,0.0,1.659
odom,"[0.0, 1.0]",12.8895,0.1464,49.9902,0.0,16.8285
