Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.1292,0.1215,0.3509,0.0006,0.0688
conv,"[0.0, 1.0]",0.2001,0.191,0.6479,0.0293,0.1062
odom,"[0.0, 1.0]",0.2172,0.2238,1.1618,0.053,0.1405
slam,"[0.0, 1.0, 2.0, 3.0]",0.3864,0.3871,0.8209,0.0228,0.1969
