Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.2396,0.1862,1.2539,0.0021,0.1991
conv,"[0.0, 1.0, 2.0, 3.0]",0.2883,0.2719,1.0641,0.0028,0.1438
odom,"[0.0, 1.0]",0.2931,0.277,1.2729,0.0084,0.1551
