Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.1033,0.0965,0.2946,0.0056,0.0571
conv,"[0.0, 1.0, 2.0, 3.0]",0.1472,0.1561,0.3343,0.0179,0.0598
odom,"[0.0, 1.0, 2.0, 3.0]",0.1464,0.1551,0.3376,0.0053,0.0601
slam,"[0.0, 1.0, 2.0, 3.0]",0.2501,0.2477,0.5506,0.0013,0.1317
