Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.2125,0.1661,0.9723,0.0014,0.1726
conv,"[0.0, 1.0, 2.0, 3.0]",0.2422,0.2227,1.0633,0.01,0.1394
odom,"[0.0, 1.0, 2.0, 3.0]",0.2383,0.222,1.3347,0.0005,0.1353
