Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.1749,0.1632,0.5418,0.0018,0.0996
conv,"[0.0, 1.0, 2.0, 3.0]",0.2282,0.2233,0.7626,0.0043,0.1029
odom,"[0.0, 1.0, 2.0, 3.0]",0.2128,0.2105,0.6172,0.0094,0.1007
