Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.2224,0.152,1.2511,0.0023,0.21
conv,"[0.0, 1.0, 2.0, 3.0]",0.2211,0.2004,1.3183,0.0032,0.1345
odom,"[0.0, 1.0, 2.0, 3.0]",0.2146,0.2035,0.958,0.0012,0.1212
