Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.3979,0.3445,1.6981,0.0002,0.2831
odom,"[0.0, 1.0]",0.3865,0.3685,1.232,0.0313,0.2012
