Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.1765,0.1564,0.731,0.0008,0.1117
odom,"[0.0, 1.0, 2.0, 3.0]",0.2127,0.1705,2.3934,0.0014,0.225
