Method,Track,Speed,Laps Completed,Mean Error,Median Error,Max Error,Min Error,Std Dev Error
amcl,map0_slamversion,5.0,"[0.0, 1.0, 2.0, 3.0]",0.20039818083722197,0.18057538964813535,0.8469969748132519,0.0014487186013264688,0.12300975294779873
conv,map0_slamversion,5.0,"[0.0, 1.0, 2.0]",0.24687828060392392,0.19025600616463756,2.290253929274044,0.0038548070177665404,0.21713453503377067
odom,map0_slamversion,5.0,"[0.0, 1.0, 2.0, 3.0]",0.19624173710644502,0.17109689823173374,1.476690232816357,0.0018912601853308384,0.15618262471125993
