Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.43,0.3201,2.5498,0.0008,0.3947
odom,"[0.0, 1.0]",0.2409,0.2202,0.432,0.1112,0.0679
