Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.2167,0.1803,1.0881,0.0027,0.1585
odom,"[0.0, 1.0, 2.0, 3.0]",0.2758,0.212,2.6077,0.005,0.3114
