Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.1859,0.1457,0.8627,0.0027,0.1408
odom,"[0.0, 1.0, 2.0, 3.0]",0.2155,0.1922,2.1365,0.0025,0.1689
slam,"[0.0, 1.0]",0.533,0.482,1.3531,0.0032,0.2955
