Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.1088,0.0992,0.3495,0.0037,0.0607
conv,"[0.0, 1.0, 2.0, 3.0]",0.2044,0.207,0.4514,0.0232,0.0726
odom,"[0.0, 1.0, 2.0, 3.0]",0.2088,0.2081,0.4005,0.0474,0.0662
slam,"[0.0, 1.0, 2.0, 3.0]",0.3805,0.3815,0.7661,0.0107,0.182
