Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.2597,0.2167,0.909,0.0026,0.1836
conv,"[0.0, 1.0]",0.2654,0.2472,1.7969,0.0109,0.1721
odom,"[0.0, 1.0, 2.0]",0.2538,0.2381,1.0962,0.0105,0.1295
