Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.1084,0.0994,0.3357,0.0019,0.058
conv,"[0.0, 1.0, 2.0, 3.0]",0.1827,0.1898,0.3477,0.0293,0.0634
odom,"[0.0, 1.0, 2.0, 3.0]",0.1769,0.1861,0.3637,0.0217,0.0637
slam,"[0.0, 1.0, 2.0, 3.0]",0.3455,0.3463,0.6754,0.0112,0.1591
