Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.2049,0.1853,0.7385,0.0016,0.1281
conv,"[0.0, 1.0, 2.0, 3.0]",0.2443,0.2402,0.6825,0.007,0.1089
odom,"[0.0, 1.0, 2.0, 3.0]",0.2364,0.2324,0.8636,0.0021,0.1139
