Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.1852,0.1524,0.8812,0.0023,0.1359
odom,"[0.0, 1.0, 2.0, 3.0]",0.2007,0.1858,1.1987,0.0037,0.1112
