Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.1681,0.1573,0.5681,0.0002,0.0965
conv,"[0.0, 1.0, 2.0, 3.0]",0.2001,0.1977,0.8594,0.0057,0.0945
odom,"[0.0, 1.0, 2.0, 3.0]",0.1967,0.1958,0.7049,0.0035,0.0949
