Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.2063,0.1763,1.2468,0.0013,0.1534
conv,"[0.0, 1.0, 2.0]",0.2529,0.2336,1.0157,0.015,0.1203
