Method,Laps Completed,Mean,Median,Max,Min,Std Dev
amcl,"[0.0, 1.0, 2.0, 3.0]",0.2173,0.1737,1.045,0.001,0.1662
odom,"[0.0, 1.0, 2.0, 3.0]",0.2395,0.2088,2.1268,0.0013,0.1959
